Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,R 1.512,1.512000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
1,1.841,1.841000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
2,3.765,3.765000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
3,7.185,7.185000,,0.000000,,88.5,88.5,023,NN,LSB,1.00,,,,,,
4,R 9.420,9.420000,,0.000000,,88.5,88.5,023,NN,AM,5.00,,,,,,
5,SSTV,14.230000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
6,14.285,14.285000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
7,21.285,21.285000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
8,CB 29,27.295000,,0.100000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,28.245,28.245000,,0.000000,,88.5,88.5,023,NN,USB,1.00,,,,,,
10,RADIO 91,91.600000,,0.000000,,88.5,88.5,023,NN,FM,25.00,,,,,,
11,RU-90,439.150000,-,7.600000,Tone,82.5,82.5,023,NN,FM,5.00,,,,,,
12,RU-72,438.700000,-,7.600000,Tone,77.0,77.0,023,NN,FM,5.00,,,,,,
13,SOTA,145.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
14,KATERINI,144.700000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
15,RU4KARD,434.700000,-,1.600000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
16,RU-92VER,439.200000,-,7.600000,Tone,79.7,79.7,023,NN,FM,5.00,,,,,,
17,SV4C KAL,430.650000,,0.000000,Tone,71.9,71.9,023,NN,FM,5.00,,,,,,
18,R5 LINK,430.900000,,0.000000,Tone,88.5,88.5,023,NN,FM,5.00,,,,,,
19,R7 LINK,430.875000,,0.000000,Tone,69.3,69.3,023,NN,FM,5.00,,,,,,
20,SV2W LIN,144.775000,,0.000000,Tone,79.7,79.7,023,NN,NFM,5.00,,,,,,
21,R-1XOLO,145.575000,-,0.600000,Tone,79.7,79.7,023,NN,NFM,5.00,,,,,,
22,R0LAMIA,145.600000,-,0.600000,Tone,82.5,82.5,023,NN,NFM,5.00,,,,,,
23,R0THESS,145.600000,-,0.600000,Tone,94.8,94.8,023,NN,NFM,5.00,,,,,,
24,R1PREVE,145.625000,-,0.600000,Tone,77.0,77.0,023,NN,NFM,5.00,,,,,,
25,R1ATHEN,145.625000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
26,R1BPILI,145.637500,-,0.600000,Tone,94.8,94.8,023,NN,NFM,5.00,,,,,,
27,R2LARIS,145.650000,-,0.600000,Tone,82.5,82.5,023,NN,NFM,5.00,,,,,,
28,R2B KAST,145.662500,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
29,R3TRIKA,145.675000,-,0.600000,Tone,71.9,71.9,023,NN,NFM,5.00,,,,,,
30,R3BKATER,145.687500,-,0.600000,Tone,67.0,67.0,023,NN,NFM,5.00,,,,,,
31,R4KARDIT,145.700000,-,0.600000,Tone,82.5,82.5,023,NN,NFM,5.00,,,,,,
32,R5PILIO,145.725000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
33,R6XORT,145.750000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
34,R6B VER,145.762500,-,0.600000,Tone,79.7,79.7,023,NN,NFM,5.00,,,,,,
35,R7IOANN,145.775000,-,0.600000,Tone,82.5,82.5,023,NN,NFM,5.00,,,,,,
36,APRS,144.800000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
37,ISS,145.825000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
38,QLY-ECHO,439.810000,,0.000000,Tone,91.5,91.5,023,NN,FM,5.00,,,,,,
39,AYW-ECHO,145.287500,,0.600000,Tone,71.9,71.9,023,NN,NFM,5.00,,,,,,
